Lat,Lng,Alt,Acc,Time,Prv,OrgLat,OrgLng,OrgAlt,OrgAcc,Speed,Bearing,AdvPrv,Dly,Dst,AltOfst,Pressure,PressureRef,RefAge,FromBT,Sats,Secs,AccDst,Quality,PDOP,VDOP,HDOP,DGPSAge,DGPSStat,Category,TimeWithTZ,TimeWithMS,SpeedKPH,SpeedMPH,Battery
-21.99915,-47.90935,838,23.99,2022-10-17T18:44:16.000Z,gps,-21.99914,-47.90937,834,24.00,13.41,296.4,gps [GPS],00:00:00,0.0,0.0,,,,false,4 / 22,21,0.0,-,7.4,6.2,4.0,-,-,Car,15:44:16 BRT,15:44:16.000,48.28,30.00,97
-21.99911,-47.90944,836,14.44,2022-10-17T18:44:17.000Z,gps,-21.99909,-47.90949,832,18.00,13.60,297.6,gps [GPS],00:00:01,10.3,0.0,,,,false,4 / 22,22,10.3,-,4.6,3.6,2.8,-,-,Car,15:44:17 BRT,15:44:17.000,48.96,30.42,97
-21.99907,-47.90953,830,10.52,2022-10-17T18:44:18.000Z,gps,-21.99903,-47.90962,826,15.00,12.88,298.6,gps [GPS],00:00:01,10.0,0.0,,,,false,4 / 22,23,20.4,-,4.6,3.6,2.8,-,-,Car,15:44:18 BRT,15:44:18.000,46.37,28.81,97
-21.99903,-47.90962,833,8.37,2022-10-17T18:44:19.000Z,gps,-21.99898,-47.90974,829,13.00,12.64,297.7,gps [GPS],00:00:01,9.8,0.0,,,,false,4 / 20,24,30.1,-,4.6,3.6,2.8,-,-,Car,15:44:19 BRT,15:44:19.000,45.50,28.27,97
-21.99900,-47.90970,833,7.14,2022-10-17T18:44:20.000Z,gps,-21.99893,-47.90986,829,12.00,13.13,297.4,gps [GPS],00:00:01,9.7,0.0,,,,false,4 / 20,25,39.9,-,4.6,3.6,2.8,-,-,Car,15:44:20 BRT,15:44:20.000,47.27,29.37,97
-21.99895,-47.90979,834,6.33,2022-10-17T18:44:21.000Z,gps,-21.99887,-47.90997,830,11.00,13.73,296.6,gps [GPS],00:00:01,10.4,0.0,,,,false,4 / 20,26,50.2,-,4.6,3.6,2.8,-,-,Car,15:44:21 BRT,15:44:21.000,49.43,30.71,97
-21.99891,-47.90988,837,5.91,2022-10-17T18:44:22.000Z,gps,-21.99881,-47.91009,833,11.00,14.21,297.6,gps [GPS],00:00:01,10.0,0.0,,,,false,4 / 19,27,60.2,-,4.6,3.6,2.8,-,-,Car,15:44:22 BRT,15:44:22.000,51.16,31.79,97
-21.99887,-47.90997,840,5.68,2022-10-17T18:44:23.000Z,gps,-21.99875,-47.91021,836,11.00,14.64,299.2,gps [GPS],00:00:01,10.3,0.0,,,,false,4 / 18,28,70.5,-,4.6,3.6,2.8,-,-,Car,15:44:23 BRT,15:44:23.000,52.70,32.75,97
-21.99882,-47.91008,841,5.40,2022-10-17T18:44:24.000Z,gps,-21.99869,-47.91034,837,10.00,15.05,299.4,gps [GPS],00:00:01,12.6,0.0,,,,false,4 / 18,29,83.2,-,4.6,3.6,2.8,-,-,Car,15:44:24 BRT,15:44:24.000,54.18,33.67,97
-21.99877,-47.91019,840,5.26,2022-10-17T18:44:25.000Z,gps,-21.99864,-47.91048,836,10.00,15.40,298.1,gps [GPS],00:00:01,12.8,0.0,,,,false,4 / 19,30,96.0,-,4.6,3.6,2.8,-,-,Car,15:44:25 BRT,15:44:25.000,55.44,34.45,97
